tipo,nombre,nombre_arabe,ciudad,provincia,epoca,nivel,gancho_comercial,imagen_url_actual,estado_imagen,cloudinary_public_id,wikimedia_buscar,notas
MONUMENTO,Mezquita del Cristo de la Luz (Bab al-Mardum),,Toledo,,Califato,,"Pequeña mezquita de barrio del año 999 con nueve bóvedas distintas de tradición cordobesa, intacta. Joya del califato en",,PENDIENTE,vive-al-andalus/atlas/mon_mezquita_del_cristo_de_la_luz_(bab_al-ma,Mezquita del Cristo de la Luz Bab al-Mardum,
MONUMENTO,Antigua Mezquita de Mértola (Igreja Matriz),,Mértola,,Almohade,,"Iglesia que fue la mezquita aljama almohade de Mértola, conservando su sala de oración con columnas y el mihrab. Única e",,PENDIENTE,vive-al-andalus/atlas/mon_antigua_mezquita_de_mértola_(igreja_matr,Antigua Mezquita de Mértola Igreja Matriz,
MONUMENTO,Alcázar de los Reyes Cristianos,,Córdoba,,,,"Fortaleza-palacio cristiana levantada sobre el antiguo alcázar califal, con jardines y albercas de aire andalusí. NO es ",,PENDIENTE,vive-al-andalus/atlas/mon_alcázar_de_los_reyes_cristianos,Alcázar de los Reyes Cristianos,
MONUMENTO,Baños del Alcázar Califal,,Córdoba,,Califato,,"Baños árabes del alcázar omeya: salas fría, templada y caliente con bóvedas estrelladas que dejan pasar la luz. Hammam c",,PENDIENTE,vive-al-andalus/atlas/mon_baños_del_alcázar_califal,Baños del Alcázar Califal,
MONUMENTO,Mezquita de Almonaster,,Almonaster la Real,,Califato,,"Mezquita rural del s. X dentro del recinto del castillo, con cinco naves de arcos de herradura y mihrab conservado. De l",,PENDIENTE,vive-al-andalus/atlas/mon_mezquita_de_almonaster,Mezquita de Almonaster,
MONUMENTO,Ciudad de Vascos (Los Vascos),,Ciudad de Vascos (Navalmoralejo),,Califato,,"Ciudad fortificada andalusí (s. X) con murallas, alcázar, baños y necrópolis, deshabitada tras la conquista. Excavación ",,PENDIENTE,vive-al-andalus/atlas/mon_ciudad_de_vascos_(los_vascos),Ciudad de Vascos Los Vascos,
MONUMENTO,Alhambra · Alcazaba,,Granada,,Nazarí,,"La ciudadela militar de la Alhambra, la zona más antigua del recinto, con la Torre de la Vela y vistas de 360º sobre la ",,PENDIENTE,vive-al-andalus/atlas/mon_alhambra__alcazaba,Alhambra · Alcazaba,
MONUMENTO,La Giralda,,Sevilla,,Almohade,,"El alminar de la gran mezquita almohade de Sevilla, gemelo de la Kutubia de Marrakech. El símbolo de la ciudad y una de ",,PENDIENTE,vive-al-andalus/atlas/mon_la_giralda,La Giralda,
MONUMENTO,El Bañuelo (Baños del Nogal),,Granada,,Taifa,,Baños árabes del s. XI con bóvedas perforadas por lucernas en forma de estrella; uno de los hammams mejor conservados de,,PENDIENTE,vive-al-andalus/atlas/mon_el_bañuelo_(baños_del_nogal),El Bañuelo Baños del Nogal,
MONUMENTO,Baños Árabes de Ronda,,Ronda,,Nazarí,,"Hammam nazarí del s. XIII-XIV junto al arroyo, con las tres salas completas y noria de abastecimiento. Excepcional.",,PENDIENTE,vive-al-andalus/atlas/mon_baños_árabes_de_ronda,Baños Árabes de Ronda,
MONUMENTO,Baños Árabes de Jaén (Palacio de Villardompardo),,Jaén,,Taifa,,"Hammam taifí del s. XI (de los más extensos de Europa), con salas fría, templada y caliente y arquerías de herradura. Mu",,PENDIENTE,vive-al-andalus/atlas/mon_baños_árabes_de_jaén_(palacio_de_villard,Baños Árabes de Jaén Palacio de Villardompardo,
MONUMENTO,Alcazaba de Mérida,,Mérida,,Emirato,,"Recinto militar omeya del 835 junto al puente romano sobre el Guadiana, con un magnífico aljibe de doble escalera. La má",,PENDIENTE,vive-al-andalus/atlas/mon_alcazaba_de_mérida,Alcazaba de Mérida,
MONUMENTO,Alcazaba de Badajoz,,Badajoz,,Almohade,,"Inmenso recinto amurallado almohade sobre el Guadiana, con torres albarranas, puertas en recodo y la torre Espantaperros",,PENDIENTE,vive-al-andalus/atlas/mon_alcazaba_de_badajoz,Alcazaba de Badajoz,
MONUMENTO,Castillo de Burgalimar (Baños de la Encina),,Baños de la Encina,,Califato,,"Fortaleza califal del 967 con recinto casi intacto de tapial, 14 torres y torre del homenaje cristiana posterior. Inscri",,PENDIENTE,vive-al-andalus/atlas/mon_castillo_de_burgalimar_(baños_de_la_enci,Castillo de Burgalimar Baños de la Encina,
MONUMENTO,Baños árabes de Toledo,,Toledo,,Taifa,,"Restos de hammams de época taifa conservados en el casco histórico, testigos de la Tulaytula islámica.",,PENDIENTE,vive-al-andalus/atlas/mon_baños_árabes_de_toledo,Baños árabes de Toledo,
MONUMENTO,Alcazaba de Antequera,,Antequera,,Nazarí,,"Alcazaba nazarí sobre la ciudad, con la Torre del Homenaje y vistas a la Peña de los Enamorados.",,PENDIENTE,vive-al-andalus/atlas/mon_alcazaba_de_antequera,Alcazaba de Antequera,
MONUMENTO,Alcazaba de Guadix,,Guadix,,Taifa,,"Alcazaba andalusí en lo alto de Guadix, con torres y vistas al barrio troglodita y a Sierra Nevada.",,PENDIENTE,vive-al-andalus/atlas/mon_alcazaba_de_guadix,Alcazaba de Guadix,
MONUMENTO,Baños Árabes de Palma,,Palma de Mallorca,,Taifa,,"Baños árabes (s. X-XI) conservados en un jardín del casco antiguo, con su sala caliente abovedada. Principal resto de la",,PENDIENTE,vive-al-andalus/atlas/mon_baños_árabes_de_palma,Baños Árabes de Palma,
MONUMENTO,Alcazaba y antigua mezquita de Archidona,,Archidona,,"Almohade, Nazarí",,Recinto de la alcazaba de Archidona que conserva restos de su mezquita (arquerías de herradura) integrados en una ermita,,PENDIENTE,vive-al-andalus/atlas/mon_alcazaba_y_antigua_mezquita_de_archidona,Alcazaba y antigua mezquita de Archidona,
MONUMENTO,Baños Árabes de Baza (Marzuela),,Baza,,"Taifa, Almohade",,"Hammam de los siglos X-XIII con sus tres salas y bóvedas con lucernas, uno de los mejor conservados de la Península.",,PENDIENTE,vive-al-andalus/atlas/mon_baños_árabes_de_baza_(marzuela),Baños Árabes de Baza Marzuela,
MONUMENTO,Baños árabes de Elche,,Elche,,Almohade,,"Baños árabes conservados en el casco antiguo de Elche, cerca de la Calahorra almohade y del histórico palmeral.",,PENDIENTE,vive-al-andalus/atlas/mon_baños_árabes_de_elche,Baños árabes de Elche,
